,Date,AirTmp_35d,WtrTemp_35d,Mo,Yr
141,5/21/1982,18.23142857,18.75229771,5,1982
142,5/22/1982,18.29142857,18.80528971,5,1982
143,5/23/1982,18.51142857,18.99959371,5,1982
144,5/24/1982,18.73714286,19.19894457,5,1982
145,5/25/1982,18.95714286,19.39324857,5,1982
146,5/26/1982,19.11714286,19.53456057,5,1982
147,5/27/1982,19.46,19.837372,5,1982
148,5/28/1982,19.84285714,20.17551143,5,1982
149,5/29/1982,20.11714286,20.41776057,5,1982
150,5/30/1982,20.35714286,20.62972857,5,1982
151,5/31/1982,20.54,20.791228,5,1982
152,6/1/1982,20.65428571,20.89216514,6,1982
153,6/2/1982,20.86857143,21.08142229,6,1982
154,6/3/1982,21.14,21.321148,6,1982
155,6/4/1982,21.38571429,21.53816286,6,1982
156,6/5/1982,21.59428571,21.72237314,6,1982
157,6/6/1982,21.68857143,21.80564629,6,1982
158,6/7/1982,21.78857143,21.89396629,6,1982
159,6/8/1982,21.94571429,22.03275486,6,1982
160,6/9/1982,22.09714286,22.16649657,6,1982
161,6/10/1982,22.15142857,22.21444171,6,1982
162,6/11/1982,22.12285714,22.18920743,6,1982
163,6/12/1982,22.20285714,22.25986343,6,1982
164,6/13/1982,22.28857143,22.33556629,6,1982
165,6/14/1982,22.40571429,22.43902686,6,1982
166,6/15/1982,22.56571429,22.58033886,6,1982
167,6/16/1982,22.70285714,22.70146343,6,1982
168,6/17/1982,22.70857143,22.70651029,6,1982
169,6/18/1982,22.64857143,22.65351829,6,1982
170,6/19/1982,22.74,22.734268,6,1982
171,6/20/1982,22.80285714,22.78978343,6,1982
172,6/21/1982,22.88,22.857916,6,1982
173,6/22/1982,22.88857143,22.86548629,6,1982
174,6/23/1982,22.96857143,22.93614229,6,1982
175,6/24/1982,22.93714286,22.90838457,6,1982
176,6/25/1982,22.99714286,22.96137657,6,1982
177,6/26/1982,23.04285714,23.00175143,6,1982
178,6/27/1982,23.07142857,23.02698571,6,1982
179,6/28/1982,23.15428571,23.10016514,6,1982
180,6/29/1982,23.21428571,23.15315714,6,1982
181,6/30/1982,23.30571429,23.23390686,6,1982
182,7/1/1982,23.29428571,23.22381314,7,1982
183,7/2/1982,23.22857143,23.16577429,7,1982
184,7/3/1982,23.28285714,23.21371943,7,1982
185,7/4/1982,23.27428571,23.20614914,7,1982
186,7/5/1982,23.18571429,23.12792286,7,1982
187,7/6/1982,23.18857143,23.13044629,7,1982
188,7/7/1982,23.26571429,23.19857886,7,1982
189,7/8/1982,23.41142857,23.32727371,7,1982
190,7/9/1982,23.55714286,23.45596857,7,1982
191,7/10/1982,23.61714286,23.50896057,7,1982
192,7/11/1982,23.78285714,23.65531943,7,1982
193,7/12/1982,23.89714286,23.75625657,7,1982
194,7/13/1982,23.94285714,23.79663143,7,1982
195,7/14/1982,23.99428571,23.84205314,7,1982
196,7/15/1982,24.06571429,23.90513886,7,1982
197,7/16/1982,24.16571429,23.99345886,7,1982
198,7/17/1982,24.29714286,24.10953657,7,1982
199,7/18/1982,24.43714286,24.23318457,7,1982
200,7/19/1982,24.58285714,24.36187943,7,1982
201,7/20/1982,24.68,24.447676,7,1982
202,7/21/1982,24.71142857,24.47543371,7,1982
203,7/22/1982,24.78571429,24.54104286,7,1982
204,7/23/1982,24.86571429,24.61169886,7,1982
205,7/24/1982,24.84285714,24.59151143,7,1982
206,7/25/1982,24.88285714,24.62683943,7,1982
207,7/26/1982,24.94571429,24.68235486,7,1982
208,7/27/1982,25.14,24.853948,7,1982
209,7/28/1982,25.20571429,24.91198686,7,1982
210,7/29/1982,25.26,24.959932,7,1982
211,7/30/1982,25.32,25.012924,7,1982
212,7/31/1982,25.31428571,25.00787714,7,1982
213,8/1/1982,25.32857143,25.02049429,8,1982
214,8/2/1982,25.32285714,25.01544743,8,1982
215,8/3/1982,25.31714286,25.01040057,8,1982
216,8/4/1982,25.30857143,25.00283029,8,1982
217,8/5/1982,25.40285714,25.08610343,8,1982
218,8/6/1982,25.51142857,25.18199371,8,1982
219,8/7/1982,25.50857143,25.17947029,8,1982
220,8/8/1982,25.54,25.207228,8,1982
221,8/9/1982,25.61428571,25.27283714,8,1982
222,8/10/1982,25.66285714,25.31573543,8,1982
223,8/11/1982,25.64857143,25.30311829,8,1982
224,8/12/1982,25.51142857,25.18199371,8,1982
225,8/13/1982,25.38,25.065916,8,1982
226,8/14/1982,25.31714286,25.01040057,8,1982
227,8/15/1982,25.26,24.959932,8,1982
228,8/16/1982,25.27428571,24.97254914,8,1982
229,8/17/1982,25.23714286,24.93974457,8,1982
230,8/18/1982,25.18,24.889276,8,1982
231,8/19/1982,25.17714286,24.88675257,8,1982
