"","Date","Airtemp","AirTmp_14d","WtrTemp_14d","Mo","Yr"
"42",1982-02-11,4.8,6.69285714285714,9.32285614285714,2,1982
"43",1982-02-12,4.9,6.80714285714286,9.43869385714286,2,1982
"44",1982-02-13,4,6.64285714285714,9.27217714285714,2,1982
"45",1982-02-14,4.8,6.2,8.823306,2,1982
"46",1982-02-15,12.6,6.39285714285714,9.01878214285714,2,1982
"47",1982-02-16,16.2754244827869,7.34824460591335,9.98714376766165,2,1982
"48",1982-02-17,11.6,7.66967317734192,10.3129373390902,2,1982
"49",1982-02-18,2.8,6.92681603448478,9.55999219623308,2,1982
"50",1982-02-19,5.8,6.81967317734192,9.45139433909022,2,1982
"51",1982-02-20,9.1,6.89824460591335,9.53103276766165,2,1982
"52",1982-02-21,11.9,7.61253032019906,10.2550184819474,2,1982
"53",1982-02-22,6.9,7.79110174877049,10.4360149105188,2,1982
"54",1982-02-23,8.1,7.71967317734192,10.3636163390902,2,1982
"55",1982-02-24,12.2,8.26967317734192,10.9210853390902,2,1982
"56",1982-02-25,7.33087807586997,8.45045018276121,11.1043172962431,2,1982
"57",1982-02-26,0.4,8.12902161133263,10.7785237248145,2,1982
"58",1982-02-27,0.3,7.86473589704692,10.5106490105288,2,1982
"59",1982-02-28,3.3,7.75759303990406,10.402051153386,2,1982
"60",1982-03-01,5.7,7.26473589704692,9.90250101052882,3,1982
"61",1982-03-02,10.8,6.87363414827643,9.50608810001002,3,1982
"62",1982-03-03,11.5,6.86649129113357,9.49884824286716,3,1982
"63",1982-03-04,6.1,7.10220557684786,9.73776352858145,3,1982
"64",1982-03-05,13.8,7.67363414827643,10.31695210001,3,1982
"65",1982-03-06,7.6,7.56649129113357,10.2083542428672,3,1982
"66",1982-03-07,4.2,7.01649129113357,9.65088524286716,3,1982
"67",1982-03-08,2.5,6.70220557684786,9.33233152858145,3,1982
"68",1982-03-09,7.6,6.66649129113357,9.29613224286716,3,1982
"69",1982-03-10,10.4,6.53791986256214,9.16581481429573,3,1982
"70",1982-03-11,15.5,7.12142857142857,9.75724757142857,3,1982
"71",1982-03-12,17.6,8.35,11.002503,3,1982
"72",1982-03-13,17,9.54285714285714,12.2115591428571,3,1982
"73",1982-03-14,13.6,10.2785714285714,12.9572644285714,3,1982
"74",1982-03-15,8.3,10.4642857142857,13.1455007142857,3,1982
"75",1982-03-16,6,10.1214285714286,12.7979875714286,3,1982
"76",1982-03-17,15,10.3714285714286,13.0513825714286,3,1982
"77",1982-03-18,12.5,10.8285714285714,13.5147334285714,3,1982
"78",1982-03-19,14,10.8428571428571,13.5292131428571,3,1982
"79",1982-03-20,9.6,10.9857142857143,13.6740102857143,3,1982
"80",1982-03-21,13.3,11.6357142857143,14.3328372857143,3,1982
"81",1982-03-22,13.6,12.4285714285714,15.1364614285714,3,1982
"82",1982-03-23,10.8,12.6571428571429,15.3681368571429,3,1982
"83",1982-03-24,10,12.6285714285714,15.3391774285714,3,1982
"84",1982-03-25,12.8,12.4357142857143,15.1437012857143,3,1982
"85",1982-03-26,10.4,11.9214285714286,14.6224315714286,3,1982
"86",1982-03-27,3.8,10.9785714285714,13.6667704285714,3,1982
"87",1982-03-28,2.9,10.2142857142857,12.8921057142857,3,1982
"88",1982-03-29,7.6,10.1642857142857,12.8414267142857,3,1982
"89",1982-03-30,14.3,10.7571428571429,13.4423348571429,3,1982
"90",1982-03-31,17.2,10.9142857142857,13.6016117142857,3,1982
"91",1982-04-01,17.4,11.2642857142857,13.9563647142857,4,1982
"92",1982-04-02,17.3,11.5,14.19528,4,1982
"93",1982-04-03,20.1,12.25,14.955465,4,1982
"94",1982-04-04,16.6,12.4857142857143,15.1943802857143,4,1982
"95",1982-04-05,11.1,12.3071428571429,15.0133838571429,4,1982
"96",1982-04-06,8,12.1071428571429,14.8106678571429,4,1982
"97",1982-04-07,4.6,11.7214285714286,14.4197155714286,4,1982
"98",1982-04-08,4.9,11.1571428571429,13.8477668571429,4,1982
"99",1982-04-09,7.8,10.9714285714286,13.6595305714286,4,1982
"100",1982-04-10,7.2,11.2142857142857,13.9056857142857,4,1982
"101",1982-04-11,11.2,11.8071428571429,14.5065938571429,4,1982
"102",1982-04-12,15.5,12.3714285714286,15.0785425714286,4,1982
"103",1982-04-13,18.9,12.7,15.411576,4,1982
"104",1982-04-14,18,12.7571428571429,15.4694948571429,4,1982
"105",1982-04-15,16.9,12.7214285714286,15.4332955714286,4,1982
"106",1982-04-16,19.1,12.85,15.563613,4,1982
"107",1982-04-17,21.1,12.9214285714286,15.6360115714286,4,1982
"108",1982-04-18,15.7,12.8571428571429,15.5708528571429,4,1982
"109",1982-04-19,14.2,13.0785714285714,15.7952884285714,4,1982
"110",1982-04-20,15,13.5785714285714,16.3020784285714,4,1982
"111",1982-04-21,16.5,14.4285714285714,17.1636214285714,4,1982
"112",1982-04-22,10.6,14.8357142857143,17.5762932857143,4,1982
"113",1982-04-23,11,15.0642857142857,17.8079687142857,4,1982
"114",1982-04-24,14.7,15.6,18.350958,4,1982
"115",1982-04-25,17,16.0142857142857,18.7708697142857,4,1982
"116",1982-04-26,19.3,16.2857142857143,19.0459842857143,4,1982
"117",1982-04-27,19.5,16.3285714285714,19.0894234285714,4,1982
"118",1982-04-28,15.2,16.1285714285714,18.8867074285714,4,1982
"119",1982-04-29,12.5,15.8142857142857,18.5681537142857,4,1982
"120",1982-04-30,13,15.3785714285714,18.1265224285714,4,1982
"121",1982-05-01,16.2,15.0285714285714,17.7717694285714,5,1982
"122",1982-05-02,17.2,15.1357142857143,17.8803672857143,5,1982
"123",1982-05-03,17.3,15.3571428571429,18.1048028571429,5,1982
"124",1982-05-04,17.5,15.5357142857143,18.2857992857143,5,1982
"125",1982-05-05,17.5,15.6071428571429,18.3581978571429,5,1982
"126",1982-05-06,19.9,16.2714285714286,19.0315045714286,5,1982
"127",1982-05-07,22.8,17.1142857142857,19.8858077142857,5,1982
"128",1982-05-08,19.4,17.45,20.226081,5,1982
"129",1982-05-09,18.6,17.5642857142857,20.3419187142857,5,1982
"130",1982-05-10,17.8,17.4571428571429,20.2333208571429,5,1982
"131",1982-05-11,17.8,17.3357142857143,20.1102432857143,5,1982
"132",1982-05-12,20.4,17.7071428571429,20.4867158571429,5,1982
"133",1982-05-13,23.7,18.5071428571429,21.2975798571429,5,1982
"134",1982-05-14,24.3,19.3142857142857,22.1156837142857,5,1982
"135",1982-05-15,22.1,19.7357142857143,22.5428352857143,5,1982
"136",1982-05-16,22.1,20.0857142857143,22.8975882857143,5,1982
"137",1982-05-17,22.3,20.4428571428571,23.2595811428571,5,1982
"138",1982-05-18,21,20.6928571428571,23.5129761428571,5,1982
"139",1982-05-19,20.9,20.9357142857143,23.7591312857143,5,1982
"140",1982-05-20,22.2,21.1,23.925648,5,1982
"141",1982-05-21,21.8,21.0285714285714,23.8532494285714,5,1982
"142",1982-05-22,23.2,21.3,24.128364,5,1982
"143",1982-05-23,23.4,21.6428571428571,24.4758771428571,5,1982
"144",1982-05-24,22.1,21.95,24.787191,5,1982
"145",1982-05-25,22.7,22.3,25.141944,5,1982
"146",1982-05-26,22.1,22.4214285714286,25.2650215714286,5,1982
"147",1982-05-27,22.6,22.3428571428571,25.1853831428571,5,1982
"148",1982-05-28,24.4,22.35,25.192623,5,1982
"149",1982-05-29,24.3,22.5071428571429,25.3518998571429,5,1982
"150",1982-05-30,25.4,22.7428571428571,25.5908151428571,5,1982
"151",1982-05-31,25.7,22.9857142857143,25.8369702857143,5,1982
"152",1982-06-01,23.5,23.1642857142857,26.0179667142857,6,1982
"153",1982-06-02,22.7,23.2928571428571,26.1482841428571,6,1982
"154",1982-06-03,22,23.2785714285714,26.1338044285714,6,1982
"155",1982-06-04,21.6,23.2642857142857,26.1193247142857,6,1982
"156",1982-06-05,23.5,23.2857142857143,26.1410442857143,6,1982
"157",1982-06-06,20.5,23.0785714285714,25.9310884285714,6,1982
"158",1982-06-07,20.8,22.9857142857143,25.8369702857143,6,1982
"159",1982-06-08,23,23.0071428571429,25.8586898571429,6,1982
"160",1982-06-09,22.8,23.0571428571429,25.9093688571429,6,1982
"161",1982-06-10,21.8,23,25.85145,6,1982
"162",1982-06-11,21.8,22.8142857142857,25.6632137142857,6,1982
"163",1982-06-12,22.2,22.6642857142857,25.5111767142857,6,1982
"164",1982-06-13,21.6,22.3928571428571,25.2360621428571,6,1982
"165",1982-06-14,21.9,22.1214285714286,24.9609475714286,6,1982
"166",1982-06-15,23.4,22.1142857142857,24.9537077142857,6,1982
