cale_date,sePmo,seNmo,segm
2013-01-15,40,1080,Segment 2
2013-01-15,40,1220,Segment 3
2013-01-15,75,1355,Segment 4
2013-02-15,80,1385,Segment 1
2013-02-15,50,1210,Segment 2
2013-02-15,40,1180,Segment 3
2013-02-15,75,1450,Segment 4
2013-03-15,100,1300,Segment 1
2013-03-15,60,1240,Segment 2
2013-03-15,50,1060,Segment 3
2013-03-15,105,1512.5,Segment 4
2013-04-15,85,1000,Segment 1
2013-04-15,49.5,860,Segment 2
2013-04-15,40,845,Segment 3
2013-04-15,50,1075,Segment 4
2013-05-15,85,1010,Segment 1
2013-05-15,41.75,820,Segment 2
2013-05-15,35,735,Segment 3
2013-05-15,70,1170,Segment 4
2013-06-15,96.25,998.75,Segment 1
2013-06-15,43.75,737.5,Segment 2
2013-06-15,30,735,Segment 3
2013-06-15,65,900,Segment 4
2013-07-15,83.75,1002.5,Segment 1
2013-07-15,44.5,710,Segment 2
2013-07-15,30,695,Segment 3
2013-07-15,65,910,Segment 4
2013-08-15,88.75,1026.25,Segment 1
2013-08-15,46,775,Segment 2
2013-08-15,30,670,Segment 3
2013-08-15,60,925,Segment 4
2013-09-15,100.625,1160,Segment 1
2013-09-15,46.625,890,Segment 2
2013-09-15,35,805,Segment 3
2013-09-15,57.5,970,Segment 4
2013-10-15,115,1110,Segment 1
2013-10-15,55.333333333333336,840,Segment 2
2013-10-15,40,900,Segment 3
2013-10-15,50,1035,Segment 4
2013-11-15,77.5,1005,Segment 1
2013-11-15,50,830,Segment 2
2013-11-15,40,975,Segment 3
2013-11-15,55,1335,Segment 4
2013-12-15,70,1052.5,Segment 1
2013-12-15,40,770,Segment 2
2013-12-15,40,930,Segment 3
2013-12-15,50,1425,Segment 4
2014-01-15,78.75,1120,Segment 1
2014-01-15,40,940,Segment 2
2014-01-15,80,1260,Segment 3
2014-01-15,135,1160,Segment 4
2014-02-15,92.5,1262.5,Segment 1
2014-02-15,60,1080,Segment 2
2014-02-15,50,1000,Segment 3
2014-02-15,102.5,1205,Segment 4
2014-03-15,80,1112.5,Segment 1
2014-03-15,60,970,Segment 2
2014-03-15,60,1010,Segment 3
2014-03-15,85,1087.5,Segment 4
2014-04-15,100,1027.5,Segment 1
2014-04-15,60,870,Segment 2
2014-04-15,50,815,Segment 3
2014-04-15,80,955,Segment 4
2014-05-15,77.5,971.25,Segment 1
2014-05-15,50,845,Segment 2
2014-05-15,40,875,Segment 3
2014-05-15,65,1175,Segment 4
2014-06-15,90,1012.5,Segment 1
2014-06-15,47.5,672.5,Segment 2
2014-06-15,35,675,Segment 3
2014-06-15,62.5,1037.5,Segment 4
2014-07-15,136.25,1235,Segment 1
2014-07-15,45,840,Segment 2
2014-07-15,35,670,Segment 3
2014-07-15,42.5,747.5,Segment 4
2014-08-15,87.5,1076.25,Segment 1
2014-08-15,35,720,Segment 2
2014-08-15,25,645,Segment 3
2014-08-15,40,835,Segment 4
2014-09-15,97.5,1088.75,Segment 1
2014-09-15,45,825,Segment 2
2014-09-15,30,675,Segment 3
2014-09-15,42.5,737.5,Segment 4
2014-10-15,97.5,1160,Segment 1
2014-10-15,50,930,Segment 2
2014-10-15,30,760,Segment 3
2014-10-15,40,970,Segment 4
2014-11-15,70,1165,Segment 1
2014-11-15,40,880,Segment 2
2014-11-15,40,1010,Segment 3
2014-11-15,45,1385,Segment 4
2014-12-15,77.5,1340,Segment 1
2014-12-15,40,980,Segment 2
2014-12-15,40,1260,Segment 3
2014-12-15,120,1865,Segment 4
2015-01-15,70,1355,Segment 1
2015-01-15,50,1130,Segment 2
2015-01-15,40,960,Segment 3
2015-01-15,85,1320,Segment 4
2015-02-15,85,1605,Segment 1
2015-02-15,50,1150,Segment 2
2015-02-15,40,1070,Segment 3
2015-02-15,70,1395,Segment 4
2015-03-15,72.5,1125,Segment 1
2015-03-15,50,970,Segment 2
2015-03-15,40,930,Segment 3
2015-03-15,60,1240,Segment 4
2015-04-15,85,940,Segment 1
2015-04-15,50,860,Segment 2
2015-04-15,55,935,Segment 3
2015-04-15,110,1220,Segment 4
2015-05-15,75,997.5,Segment 1
2015-05-15,45,830,Segment 2
2015-05-15,30,700,Segment 3
2015-05-15,50,920,Segment 4
2015-06-15,72.5,1061.25,Segment 1
2015-06-15,30,715,Segment 2
2015-06-15,20,680,Segment 3
2015-06-15,52.5,917.5,Segment 4
2015-07-15,110,1311.25,Segment 1
2015-07-15,35,780,Segment 2
2015-07-15,30,650,Segment 3
2015-07-15,65,850,Segment 4
2015-08-15,106.25,1366.25,Segment 1
2015-08-15,35,865,Segment 2
2015-08-15,25,625,Segment 3
2015-08-15,42.5,806.25,Segment 4
2015-09-15,125,1346.25,Segment 1
2015-09-15,45,940,Segment 2
2015-09-15,35,817.5,Segment 3
2015-09-15,42.5,812.5,Segment 4
2015-10-15,75,1067.5,Segment 1
2015-10-15,50,970,Segment 2
2015-10-15,70,1180,Segment 3
2015-10-15,60,1170,Segment 4
2015-11-15,67.5,957.5,Segment 1
2015-11-15,40,950,Segment 2
2015-11-15,60,1200,Segment 3
2015-11-15,120,1200,Segment 4
2015-12-15,82.5,1100,Segment 1
2015-12-15,50,1030,Segment 2
2015-12-15,40,1020,Segment 3
2015-12-15,45,1030,Segment 4
2016-01-15,72.5,975,Segment 1
2016-01-15,60,940,Segment 2
2016-01-15,50,940,Segment 3
2016-01-15,55,1005,Segment 4
2016-02-15,75,1145,Segment 1
2016-02-15,60,1010,Segment 2
2016-02-15,100,1220,Segment 3
2016-02-15,170,1490,Segment 4
2016-03-15,85,1040,Segment 1
2016-03-15,70,1050,Segment 2
2016-03-15,50,880,Segment 3
2016-03-15,85,1055,Segment 4
2016-04-15,82.5,907.5,Segment 1
2016-04-15,60,870,Segment 2
2016-04-15,40,940,Segment 3
2016-04-15,65,1270,Segment 4
2016-05-15,80,948.75,Segment 1
2016-05-15,35,730,Segment 2
2016-05-15,47.5,975,Segment 3
2016-05-15,72.5,1173.75,Segment 4
2016-06-15,92.5,1155,Segment 1
2016-06-15,40,790,Segment 2
2016-06-15,40,695,Segment 3
2016-06-15,55,1015,Segment 4
2016-07-15,95,1110,Segment 1
2016-07-15,40,860,Segment 2
2016-07-15,30,860,Segment 3
2016-07-15,60,930,Segment 4
2016-08-15,85,1035,Segment 1
2016-08-15,40,810,Segment 2
2016-08-15,30,700,Segment 3
2016-08-15,45,775,Segment 4
2016-09-15,120,1135,Segment 1
2016-09-15,50,930,Segment 2
2016-09-15,30,850,Segment 3
2016-09-15,40,865,Segment 4
2016-10-15,55,890,Segment 1
2016-10-15,40,930,Segment 2
2016-10-15,50,1130,Segment 3
2016-10-15,65,1180,Segment 4
2016-11-15,70,965,Segment 1
2016-11-15,50,880,Segment 2
2016-11-15,40,980,Segment 3
2016-11-15,40,1160,Segment 4
2016-12-15,65,940,Segment 1
2016-12-15,40,960,Segment 2
2016-12-15,30,1010,Segment 3
2016-12-15,40,1700,Segment 4
2017-01-15,60,1225,Segment 1
2017-01-15,30,880,Segment 2
2017-01-15,40,1050,Segment 3
2017-01-15,120,1555,Segment 4
2017-02-15,70,1195,Segment 1
2017-02-15,40,980,Segment 2
2017-02-15,40,1070,Segment 3
2017-02-15,60,1445,Segment 4
2017-03-15,75,1035,Segment 1
2017-03-15,50,860,Segment 2
2017-03-15,40,810,Segment 3
2017-03-15,40,1310,Segment 4
2017-04-15,70,1000,Segment 1
2017-04-15,40,800,Segment 2
2017-04-15,30,780,Segment 3
2017-04-15,45,1150,Segment 4
2017-05-15,85,1000,Segment 1
2017-05-15,50.5,770,Segment 2
2017-05-15,50,790,Segment 3
2017-05-15,55,870,Segment 4
2017-06-15,60,945,Segment 1
2017-06-15,42.833333333333336,690,Segment 2
2017-06-15,60,860,Segment 3
2017-06-15,190,1285,Segment 4
2017-07-15,90,1110,Segment 1
2017-07-15,48.333333333333336,830,Segment 2
2017-07-15,30,750,Segment 3
2017-07-15,40,820,Segment 4
2017-08-15,105,1260,Segment 1
2017-08-15,53.666666666666664,890,Segment 2
2017-08-15,40,850,Segment 3
2017-08-15,60,1005,Segment 4
2017-09-15,95,1260,Segment 1
2017-09-15,59,1010,Segment 2
2017-09-15,40,1010,Segment 3
2017-09-15,55,1210,Segment 4
2017-10-15,105,1360,Segment 1
2017-10-15,60.75,1010,Segment 2
2017-10-15,50,940,Segment 3
2017-10-15,65,1190,Segment 4
2017-11-15,85,1165,Segment 1
2017-11-15,60,930,Segment 2
2017-11-15,50,960,Segment 3
2017-11-15,55,1440,Segment 4
2017-12-15,95,1530,Segment 1
2017-12-15,60,1010,Segment 2
2017-12-15,40,1060,Segment 3
2017-12-15,40,1465,Segment 4
2018-01-15,50,1200,Segment 2
2018-01-15,40,1270,Segment 3
2018-01-15,55,1975,Segment 4
2018-02-15,60,1575,Segment 1
2018-02-15,50,1270,Segment 2
2018-02-15,70,1580,Segment 3
2018-02-15,90,1500,Segment 4
2018-03-15,80,1415,Segment 1
2018-03-15,50,1180,Segment 2
2018-03-15,50,1390,Segment 3
2018-03-15,90,1545,Segment 4
2018-04-15,75,1010,Segment 1
2018-04-15,48.166666666666664,1000,Segment 2
2018-04-15,50,1100,Segment 3
2018-04-15,55,1220,Segment 4
2018-05-15,95,1340,Segment 1
2018-05-15,53.625,1170,Segment 2
2018-05-15,50,1120,Segment 3
2018-05-15,55,1080,Segment 4
2018-06-15,60,937.5,Segment 1
2018-06-15,44.166666666666664,810,Segment 2
2018-06-15,40,760,Segment 3
2018-06-15,55,1010,Segment 4
2018-07-15,80,1085,Segment 1
2018-07-15,40.833333333333336,860,Segment 2
2018-07-15,30,705,Segment 3
2018-07-15,40,805,Segment 4
2018-08-15,38.75,NaN,Segment 2
2018-09-15,52.5,NaN,Segment 2
2018-10-15,52,NaN,Segment 2
